id,short_desc,severity,failure_impact_type,action_urgency_type,human_failure_impact,human_action_urgency
189765,"[Import/Export] TVT33:TCT388: pl: ""import from file system"" panel too wide",major,user-facing bug,needs attention soon,,
5523,"Add ""Finds Strings To Externalize"" to Java project and source folder",minor,user-facing bug,needs attention soon,,
14696,Type in search results,normal,user-facing bug,needs attention soon,,
59676,[Workbench] High Tab font not changing the height of the tab,normal,user-facing bug,needs attention soon,,
78678,Indexer stops reindexing file after repeated saves,normal,user-facing bug,needs attention soon,,
75381,Runtime workbench takes 4 minutes to start with many plugins,normal,performance degradation,needs attention soon,,
66328,[Intro] Welcome page sometimes appears twice,normal,non-critical feature request,can wait (low urgency),,
301817,[CommonNavigator] [Project Explorer] Redraw problem when deleting a folder hierarchy,normal,user-facing bug,needs attention soon,,
39771,[Live Sync View] Prompt to overwrite should show compare decorator,enhancement,non-critical feature request,can wait (low urgency),,
306914,Possible deadlock when big chunk of data is written by the process,major,system failure / crash,immediate action required,,
7463,Search for implementors fails,normal,user-facing bug,needs attention soon,,
200601,display selected console numbering of debug sessions stops at 9,normal,user-facing bug,needs attention soon,,
64085,[ManagedBuild] Sanity:  Getting NPE after creating C or C++ Managed Project,blocker,system failure / crash,immediate action required,,
24445,Performance issues on Solaris Motif,normal,performance degradation,needs attention soon,,
98754,[Contributions] View sites are returning disposed contribution items,normal,user-facing bug,needs attention soon,,
65641,Rapid pasting causes improper indent of pasted test,normal,user-facing bug,needs attention soon,,
163128,org.eclipse.debug.ui plugin needs organizing,trivial,non-critical feature request,can wait (low urgency),,
146040,"[Workbench] Incomplete schema doc for filesystemSupport, markerImageProviders, markerSupport",normal,user-facing bug,needs attention soon,,
135154,[Contributions] ObjectContribtution doesnt work with mixed objects in IStructuredSelection,normal,user-facing bug,needs attention soon,,
21077,[Help] F1 does not work for all pages in the preferences dialog.,normal,user-facing bug,needs attention soon,,
62809,"[Scanner Config] Handling -DMACRO=""value""",normal,user-facing bug,needs attention soon,,
286107,[ViewMgmt] [GlobalActions] Closing project ignores Saveables,major,user-facing bug,needs attention soon,,
177723,[preferences] Content Assist preference page should link to type filters,enhancement,non-critical feature request,can wait (low urgency),,
61166,source not found,normal,user-facing bug,needs attention soon,,
105018,[osgi] PackageAdmin reports incorrect package wiring,normal,user-facing bug,needs attention soon,,
20283,Emacs keybindings for content assist and parameter info don't work,critical,system failure / crash,immediate action required,,
83346,NullPointerException during compile,critical,system failure / crash,immediate action required,,
314448,[efs] deleting a file inside a non-readable non-executable folder fails without exception,normal,user-facing bug,needs attention soon,,
155721,[Decorators] Missing font/colour decarations,normal,user-facing bug,needs attention soon,,
37746,Add compare with->menu in package explorer,enhancement,non-critical feature request,can wait (low urgency),,
339311,[Progress] Every user-job causes a busy cursor to be shown for a minimum of 250ms,normal,user-facing bug,needs attention soon,,
31607,"When debugging, console is blank until I force refresh",normal,user-facing bug,needs attention soon,,
35277,leak in pde editor,critical,system failure / crash,immediate action required,,
87760,Problem with RIGHT_TO_LEFT direction for MenItem,normal,user-facing bug,needs attention soon,,
69522,[MacOSX] Variables are not shown in debugger,normal,user-facing bug,needs attention soon,,
15416,Classpath container - need to set value even if not referenced,normal,user-facing bug,needs attention soon,,
26546,In/correct quick fix for non-static access to static member [quick fix],normal,user-facing bug,needs attention soon,,
50517,Can Error Log view be moved from PDE,normal,user-facing bug,needs attention soon,,
70106,[Tasks] Show task decorators in Navigator/Package Explorer/Outline,enhancement,non-critical feature request,can wait (low urgency),,
343861,Project should not be required to perform debugging,normal,user-facing bug,needs attention soon,,
208433,Launch from Run/Debug settings dialog,enhancement,non-critical feature request,can wait (low urgency),,
2079,[Progress] Replace with TS resource: Label cut off  (1GE4UVV),normal,user-facing bug,needs attention soon,,
123535,Add source code statistics support,enhancement,non-critical feature request,can wait (low urgency),,
68767,"Syntax Highlighting for ""undefined"" Ant properties in editor",enhancement,non-critical feature request,can wait (low urgency),,
233159,P2Installer doesn't work on a Mac,critical,system failure / crash,immediate action required,,
13491,Cannot debug a deadlock,normal,system failure / crash,immediate action required,,
23410,"Show ""No source"" if source locator returns null.",enhancement,non-critical feature request,can wait (low urgency),,
67268,Double-clicking on the editor chevron zooms/unzooms editor area,normal,user-facing bug,needs attention soon,,
79715,Allow federated search,enhancement,non-critical feature request,can wait (low urgency),,
72400,anonymous inner class's override method sign doesn't appear,normal,user-facing bug,needs attention soon,,
204675,'Convert Line Delimeters To' option doesn't mark the latest choice,normal,user-facing bug,needs attention soon,,
42052,[preferences] Need public access to Java Editor settings,enhancement,non-critical feature request,can wait (low urgency),,
132830,new variables view: please select the row when clicked on any column,normal,user-facing bug,needs attention soon,,
95196,[api] experimental API in org.eclipse.tomcat,normal,user-facing bug,needs attention soon,,
18582,Tooltip for Next Difference shows Ctrl+E,critical,system failure / crash,immediate action required,,
110801,individual TreeItems cannot only have images in Tree,normal,user-facing bug,needs attention soon,,
56384,[EditorMgmt] (leak) EditorWorkbooks leaked,normal,performance degradation,needs attention soon,,
332127,Unclear which file I'm saving if dirty untitled text editors are up during shutdown,normal,user-facing bug,needs attention soon,,
297225,[formatter] Indentation may be still wrong in certain circumstances after formatting,normal,user-facing bug,needs attention soon,,
32126,Text selection in 'Edit Template' dialog behaves oddly,minor,user-facing bug,needs attention soon,,
24853,Possible to add a detail formatter for the same type more than once,normal,non-critical feature request,can wait (low urgency),,
205045,pluggable sdk awareness in the project model,enhancement,non-critical feature request,can wait (low urgency),,
150535,java text editor does not honor system default theme in high contrast,normal,user-facing bug,needs attention soon,,
25348,Coolbar - Emulated behavior vs Windows behavior,enhancement,non-critical feature request,can wait (low urgency),,
35994,Nested features show %featureName for description in Update Manager,normal,user-facing bug,needs attention soon,,
60596,[EditorMgmt] editor chevron barely visible in dark editor bar,normal,user-facing bug,needs attention soon,,
235679,TVT34:TCT731: PLK: functional: Ignorant dropdowns in API errors/warnings,minor,user-facing bug,needs attention soon,,
236140,[refactoring] Add a refactoring for 'Hide Delegate',enhancement,non-critical feature request,can wait (low urgency),,
25796,Update to root 1.0.1 does not diable efix,critical,system failure / crash,immediate action required,,
284113,"Enhance working with Plug-ins selection in ""Run Configurations...""",enhancement,non-critical feature request,can wait (low urgency),,
97823,Unable to delete the Project,normal,user-facing bug,needs attention soon,,
31833,wrong background for separator label on MacOS X,normal,user-facing bug,needs attention soon,,
293583,non-externalized string warning in P2Utils,normal,user-facing bug,needs attention soon,,
65864,Not recognize extention plugins added by 'Managed Configuration',normal,user-facing bug,needs attention soon,,
46768,Call Hierarchy does not work on constants,normal,user-facing bug,needs attention soon,,
218648,[Error Log] Export Log... always exports the first error,normal,user-facing bug,needs attention soon,,
73997,Code Formatter mishandles <pre> and <blockquote> tags,normal,user-facing bug,needs attention soon,,
35616,[Navigator] Progress dialog does not show resource paths when moving/copying,normal,user-facing bug,needs attention soon,,
35417,"""Replace With"" menu is empty when no provider",normal,user-facing bug,needs attention soon,,
5979,Shift-* in Packages view crashed Eclipse,normal,system failure / crash,immediate action required,,
76523,[Perspectives] [RCP] Provide API to re-layout a perspective,normal,non-critical feature request,can wait (low urgency),,
295319,Table: Background color not drawn with empty EraseItem-Listener,normal,user-facing bug,needs attention soon,,
101466,[MBS]: IDE freezes when drag Mgd project properites page,critical,system failure / crash,immediate action required,,
49056,[FAQ 2.1.3] CVS 1.12.x server compatibility,normal,user-facing bug,needs attention soon,,
239198,[compiler] NegativeArraySizeException thrown for triple quotes,normal,user-facing bug,needs attention soon,,
86547,[Bindings] problems with bindings associated with functions that have default arguments,normal,user-facing bug,needs attention soon,,
201607,Fragment wizard should use new working set controls,enhancement,non-critical feature request,can wait (low urgency),,
33142,Hyperlink Navigation: Why is Shift  not possible?,normal,user-facing bug,needs attention soon,,
306680,[build path] UI to configure referenced JARs in Properties > Java Build Path > Libraries,enhancement,non-critical feature request,can wait (low urgency),,
260394,[Index] The size of an array is not stored in the index,enhancement,non-critical feature request,can wait (low urgency),,
101048,Broken links in root javadoc files,normal,non-critical feature request,can wait (low urgency),,
91378,Eclipse unexpected exception in OS._gtk_entry_set_text,normal,user-facing bug,needs attention soon,,
114454,[CellEditors] ColorCellEditor should put the color dialog in a better position,enhancement,non-critical feature request,can wait (low urgency),,
49800,AbstractLaunchConfigurationTab makes displaying correct error message tricky,normal,user-facing bug,needs attention soon,,
232349,[pull up] final method in interface makes uncompilable code (multiple methods pulled),minor,user-facing bug,needs attention soon,,
7594,"Menu entry ""Replace with Previous"" shouldn't have a ""...""",normal,user-facing bug,needs attention soon,,
61425,Primary feature not found and plugin_customization.ini not  read when org.eclipse.platform in workspace,major,user-facing bug,needs attention soon,,
59519,Support newly added launch config variables,normal,user-facing bug,needs attention soon,,
274020,Code assist fails to deliver proposals,normal,user-facing bug,needs attention soon,,
93625,Checking consistency of Type History... should be done after type selection dialog is up,normal,user-facing bug,needs attention soon,,
1795,Userscripts plugin.xml uses <plugin>/<class> notation (1GHF8LK),normal,user-facing bug,needs attention soon,,
6069,No key event for Ctrl+@ (Ctrl+Shift+2 on most keyboards),normal,user-facing bug,needs attention soon,,
239303,"CDT cannot parse ""int test[2][2] = { { }, { } };"" as an array declarator, when it should.",normal,user-facing bug,needs attention soon,,
91002,NumberFormatException in MIPreferencePage#storeValues(),normal,system failure / crash,immediate action required,,
8627,method arguments to class in jar,enhancement,non-critical feature request,can wait (low urgency),,
69246,Previous plug-in version not used when newer version is deleted,normal,user-facing bug,needs attention soon,,
47607,Add editing in alternate concrete syntax [misc],enhancement,non-critical feature request,can wait (low urgency),,
147325,[Dialogs] Need to set context help IDs,enhancement,non-critical feature request,can wait (low urgency),,
35662,If you are in the debugger and click on a variable with a large toString() Eclipse and X11 Crash,major,system failure / crash,immediate action required,,
229589,[jar export] Runnable JAR exporter should also work JUnit launch configs,enhancement,non-critical feature request,can wait (low urgency),,
21973,[Editor Mgmt] Support for opening a file that isn't in the project workspace,enhancement,non-critical feature request,can wait (low urgency),,
90466,Class loading taking in around 10ms per class,normal,user-facing bug,needs attention soon,,
42006,Cannot use Ctrl+Arrow in the java editors,critical,system failure / crash,immediate action required,,
9482,GPF in open,major,system failure / crash,immediate action required,,
140870,No version range specified when requiring bundles,normal,user-facing bug,needs attention soon,,
7217,manifest editor UI inconsistent and confusing,normal,user-facing bug,needs attention soon,,
73221,Focus is not set in the top right control of tab folder,normal,user-facing bug,needs attention soon,,
254895,"[Trim] sometimes on shutdown RCP crashes in ""LegacyAnimationFeedback""",normal,system failure / crash,immediate action required,,
53658,GTK: List should not pre-select item if setSelection is not called,normal,user-facing bug,needs attention soon,,
304792,[move method] Move a single function between interfaces does not work.,minor,user-facing bug,needs attention soon,,
83945,[Tags Operations] Moving an existing tag on a local project ignored deleted files,enhancement,non-critical feature request,can wait (low urgency),,
95340,[formatting] Allow to create MultiPassContentFormatter that does not extend the formatting region,minor,non-critical feature request,can wait (low urgency),,
277063,ANT COPY task doesn't recognize Virtual File Systems,normal,user-facing bug,needs attention soon,,
69637,[CheatSheets] TVT3.0: Problem executing CVS Tasks cheat sheet,major,user-facing bug,needs attention soon,,
231696,[ds] Refactoring Messages fields,normal,user-facing bug,needs attention soon,,
108915,Ant build terminates while signing jar using jarsigner,major,user-facing bug,needs attention soon,,
70765,[Intro] TVT3.0:  Split words on welcome page,critical,system failure / crash,immediate action required,,
262900,[Commands] Properties action disabled in debug view,normal,user-facing bug,needs attention soon,,
60390,NoClassDefFoundError invoking content assist in ant editor,normal,system failure / crash,immediate action required,,
5838,[Navigation] Should support both a step into and step over,enhancement,non-critical feature request,can wait (low urgency),,
242237,Debug View tree overflows view but no (or limited) scroll bar,normal,user-facing bug,needs attention soon,,
8816,Disappearing variables,normal,user-facing bug,needs attention soon,,
252248,ClassCastException in CPPSemantics.getParentScope,normal,system failure / crash,immediate action required,,
205194,[ErrorHandling] [StatusHandling] StatusAdapter needs Action and Explanation constants,normal,user-facing bug,needs attention soon,,
268225,Maximized Outline view looses selection,normal,user-facing bug,needs attention soon,,
152728,eclipse3.1 has a bug about compile,blocker,system failure / crash,immediate action required,,
90146,StyleRange's underline style is drawn at base line instead of descender line,normal,user-facing bug,needs attention soon,,
179275,[search] JavaWorkspaceScope caches all projects and does not refresh,normal,user-facing bug,needs attention soon,,
273266,Non-externalized string in org.eclipse.compare.win32/plugin.xml,normal,user-facing bug,needs attention soon,,
124333,Target platform stale - didn't switch to the new build,normal,user-facing bug,needs attention soon,,
255093,"In C++ refactoring, selection should be updated like Java refactorings do",minor,user-facing bug,needs attention soon,,
176762,VM slows down due to method entry breakpoint being misplaced,major,user-facing bug,needs attention soon,,
305937,[Webapp] Breadcrumbs and child links not filtered correctly,normal,user-facing bug,needs attention soon,,
30626,"Project Set import needs to allow root directory to be specified, or potentially dir for each project in set",enhancement,non-critical feature request,can wait (low urgency),,
32361,"""Link Java Browsing view to active Editor"" not working in M5",normal,user-facing bug,needs attention soon,,
295988,CDI Exception in VariableManager.udpate prevents all other updates,major,user-facing bug,needs attention soon,,
43556,"[Tasks] Problems view shows ""filtered"" markers",normal,user-facing bug,needs attention soon,,
59791,[Scanner Config] Managed Build C projects cannot find declarations in stdio.h,normal,user-facing bug,needs attention soon,,
207569,[Viewers] Different order of creating a table cursor results in not showing an inline editor,normal,user-facing bug,needs attention soon,,
91196,cvs pserver to local gets connection reset by peer,normal,user-facing bug,needs attention soon,,
50150,"site.xsl: Category label should be used, not description",normal,user-facing bug,needs attention soon,,
30783,"Template removal results in NullPointerException in the ""New class wizard"" [code manipulation]",normal,system failure / crash,immediate action required,,
259617,[debug] Better support for Collections in Variable and Expression view,normal,user-facing bug,needs attention soon,,
262795,[Min/Max] Unmaximize editor area unreliable when editor area is split,normal,user-facing bug,needs attention soon,,
103636,JDT compiler produces invalid XML,normal,user-facing bug,needs attention soon,,
38427,[breakpoints] class breakpoints - useful new feature,enhancement,non-critical feature request,can wait (low urgency),,
49063,"Refactor/Rename... Preview dialog does not have a ""Back"" button.",enhancement,non-critical feature request,can wait (low urgency),,
344384,[SWT_AWT] Display.asyncExec runnables are not run when modal dialog is shown,major,user-facing bug,needs attention soon,,
109080,managed-build: per-folder settings,normal,user-facing bug,needs attention soon,,
129853,Wrong window comes to the front when stepping,normal,user-facing bug,needs attention soon,,
10338,Smart update for .am variables.,enhancement,non-critical feature request,can wait (low urgency),,
282103,[open type] wrong matches shown together with right one,normal,user-facing bug,needs attention soon,,
198979,copy address context menu enhancement,enhancement,non-critical feature request,can wait (low urgency),,
41432,Editor close behaviour on project delete/close,normal,user-facing bug,needs attention soon,,
176855,[heap walking] All Instances and All References key bindings are the same,minor,user-facing bug,needs attention soon,,
29618,Strange error in CVSLightweightDecorator,normal,user-facing bug,needs attention soon,,
96652,Performance tests failing on Linux-GTK,normal,performance degradation,needs attention soon,,
70157,Add symbols as a seperate syntax highlight option,enhancement,non-critical feature request,can wait (low urgency),,
54645,Organize Imports: Blank Line between imports of different packages [code manipulation],normal,user-facing bug,needs attention soon,,
31843,"""for - iterate over a collection"" template: incorrect tabs",normal,user-facing bug,needs attention soon,,
